date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:45	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20Aug%202024%2014:16:45%20GMT	https://www.zen.dentist/%22https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279a594a9198eb73bce_4.jpg%22	D:/Template/Dentist/Dentist/www.zen.dentist/_https_/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279a594a9198eb73bce_4.jpg_	(from https://www.zen.dentist/index.html)
19:46:45	120369/120369	---M--	200	added ('OK')	image/jpeg	etag:%229ae5527cf8de25cb0e697402f5d7245d%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279a594a9198eb73bce_4.jpg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279a594a9198eb73bce_4.jpg	(from https://www.zen.dentist/index.html)
19:46:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20Aug%202024%2014:16:45%20GMT	https://www.zen.dentist/%22https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279028a524b9392b75f_5.jpg%22	D:/Template/Dentist/Dentist/www.zen.dentist/_https_/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279028a524b9392b75f_5.jpg_	(from https://www.zen.dentist/index.html)
19:46:46	115227/115227	---M--	200	added ('OK')	image/jpeg	etag:%2248be49dd93a1f42a0512c889582d1e19%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279028a524b9392b75f_5.jpg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279028a524b9392b75f_5.jpg	(from https://www.zen.dentist/index.html)
19:46:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20Aug%202024%2014:16:46%20GMT	https://www.zen.dentist/%22https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279969daa490a48b8dc_6.jpg%22	D:/Template/Dentist/Dentist/www.zen.dentist/_https_/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279969daa490a48b8dc_6.jpg_	(from https://www.zen.dentist/index.html)
19:46:46	119129/119129	---M--	200	added ('OK')	image/jpeg	etag:%22c16f2d3a790e7145af382a01b442b65d%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279969daa490a48b8dc_6.jpg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279969daa490a48b8dc_6.jpg	(from https://www.zen.dentist/index.html)
19:46:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20Aug%202024%2014:16:46%20GMT	https://www.zen.dentist/%22https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d27986e981fec0b5e3ad_7.jpg%22	D:/Template/Dentist/Dentist/www.zen.dentist/_https_/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d27986e981fec0b5e3ad_7.jpg_	(from https://www.zen.dentist/index.html)
19:46:47	147435/147435	---M--	200	added ('OK')	image/jpeg	etag:%220ca98ef9fa75ee8dab4fe24493def3f8%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d27986e981fec0b5e3ad_7.jpg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d27986e981fec0b5e3ad_7.jpg	(from https://www.zen.dentist/index.html)
19:46:47	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20Aug%202024%2014:16:47%20GMT	https://www.zen.dentist/%22https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279e6eafa2500a7aa06_8.jpg%22	D:/Template/Dentist/Dentist/www.zen.dentist/_https_/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279e6eafa2500a7aa06_8.jpg_	(from https://www.zen.dentist/index.html)
19:46:47	133884/133884	---M--	200	added ('OK')	image/jpeg	etag:%229c14e1cb3813ce7e5d57ee1e621b1ec2%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279e6eafa2500a7aa06_8.jpg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6390d279e6eafa2500a7aa06_8.jpg	(from https://www.zen.dentist/index.html)
19:46:47	2373/2373	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e9b263e89cda6fd9462144b66e15df6%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6390fdf516c6dd35372d59c9_dentistry%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6390fdf516c6dd35372d59c9_dentistry%201.svg	(from https://www.zen.dentist/index.html)
19:46:47	4965/4965	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2224675f8d60a8a9eb13f0bff9393af41b%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6390feeb804907cea6d46c33_search%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6390feeb804907cea6d46c33_search%201.svg	(from https://www.zen.dentist/index.html)
19:46:48	3395/3395	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ca00f4a0b7e21263051a159798cef5d2%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6390fe6876664030cce94462_streaming%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6390fe6876664030cce94462_streaming%201.svg	(from https://www.zen.dentist/index.html)
19:46:48	2755/2755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226ff4b95ee7f02ed695f04b5aa465dca3%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/639100f48049071546d4a223_Vector.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/639100f48049071546d4a223_Vector.svg	(from https://www.zen.dentist/index.html)
19:46:48	2435/2435	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f78ef11a4546b22f6a22ccbaae403e06%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/63910162fadf4f4f642f9980_Page-1.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/63910162fadf4f4f642f9980_Page-1.svg	(from https://www.zen.dentist/index.html)
19:46:48	10237/10237	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22886e7d7ead257739ce563655c1cb3d37%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/639101f4167ec24500d15d88_coffee%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/639101f4167ec24500d15d88_coffee%201.svg	(from https://www.zen.dentist/index.html)
19:46:49	2897/2897	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d22466806cd0cc6bc0202de94dfb3a0%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/639102bcfff0620d88cd5656_wifi%20(1)%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/639102bcfff0620d88cd5656_wifi%20(1)%201.svg	(from https://www.zen.dentist/index.html)
19:46:49	1559/1559	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b95ff424d1a8383ce99af9f3d1ee859%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/63910308577eec298b02c43b_diffuser%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/63910308577eec298b02c43b_diffuser%201.svg	(from https://www.zen.dentist/index.html)
19:46:49	1727/1727	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bf31a86a72f56c34606a7de715868760%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/639103eeaa0fde454b79843c_customize%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/639103eeaa0fde454b79843c_customize%201.svg	(from https://www.zen.dentist/index.html)
19:46:49	3758/3758	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b85de234f11f68b293a967f181438072%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6391048a980724f81b0470a5_tooth%201.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6391048a980724f81b0470a5_tooth%201.svg	(from https://www.zen.dentist/index.html)
19:46:49	308/308	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2228b2ab61f6fa7a10d738391efed5ecba%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8148790c440ce_close-fill.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8148790c440ce_close-fill.svg	(from https://www.zen.dentist/index.html)
19:46:50	1116/1116	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d3dae798bdd148821413e094347c9a0e%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8146e64c440d4_Ellipse%2021.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8146e64c440d4_Ellipse%2021.svg	(from https://www.zen.dentist/index.html)
19:46:50	2285/2285	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212583bb391a65d6b374732882ab4dfc3%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c81472bec44097_clarity_block-quote-line.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c81472bec44097_clarity_block-quote-line.svg	(from https://www.zen.dentist/index.html)
19:46:50	12217/12217	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249a074e7551f2c2d9a848111943fb452%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/6230bfc886c8145702c44179_yelp_logo.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/6230bfc886c8145702c44179_yelp_logo.svg	(from https://www.zen.dentist/index.html)
19:46:50	46812/46812	---M--	200	added ('OK')	image/png	etag:%22450d6663301ac6374e2294b8e53d32f6%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65006e5f48552858bc2c314a_white.png	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65006e5f48552858bc2c314a_white.png	(from https://www.zen.dentist/index.html)
19:46:50	40429/40429	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2014:16:50%20GMT	https://www.zen.dentist/zen-blog	D:/Template/Dentist/Dentist/www.zen.dentist/zen-blog.html	(from https://www.zen.dentist/index.html)
19:46:51	29542/29542	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2014:16:51%20GMT	https://www.zen.dentist/sitemap	D:/Template/Dentist/Dentist/www.zen.dentist/sitemap.html	(from https://www.zen.dentist/index.html)
19:46:51	559/559	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b775e619fe5dc3df51bad85bffde2918%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8141b31c440d0_facebook-circle-fill.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8141b31c440d0_facebook-circle-fill.svg	(from https://www.zen.dentist/index.html)
19:46:51	3170/3170	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b1ce82171938d0a058c1fb7f1b765e7f%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8149951c440d3_instagram-line.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8149951c440d3_instagram-line.svg	(from https://www.zen.dentist/index.html)
19:46:51	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6230bfc886c8142108c44052	D:/Template/Dentist/Dentist/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c877d8.js	(from https://www.zen.dentist/index.html)
19:46:52	776836/776836	---M-Z	200	added ('OK')	text/javascript	etag:%22b8bce4fa9298511ac8973593553974e5%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/js/webflow.935fd3b5f.js	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/js/webflow.935fd3b5f.js	(from https://www.zen.dentist/index.html)
19:46:52	85589/85589	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14e55%22	https://code.jquery.com/jquery-2.2.0.min.js	D:/Template/Dentist/Dentist/code.jquery.com/jquery-2.2.0.min.js	(from https://www.zen.dentist/index.html)
19:46:52	57/57	---MC-	302	error ('Found')	text/plain	date:Thu,%2008%20Aug%202024%2014:16:52%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	D:/Template/Dentist/Dentist/unpkg.com/swiper/swiper-bundle.min.44.delayed	(from https://www.zen.dentist/index.html)
19:46:53	151102/151102	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224e3e-9YdOISN/1BZRG2oAtOyJ9SDnTS0%22	https://unpkg.com/swiper@11.1.9/swiper-bundle.min.js	D:/Template/Dentist/Dentist/unpkg.com/swiper@11.1.9/swiper-bundle.min.js	(from https://www.zen.dentist/index.html)
19:46:53	7587/7587	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266a14d21-1da3%22	https://d.plerdy.com/public/js/click/main.js?v=	D:/Template/Dentist/Dentist/d.plerdy.com/public/js/click/mainec92.js	(from https://www.zen.dentist/index.html)
19:46:54	850/850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c00d9c2835341dd56cb089e89e71761c%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8143762c440c5_webflow-arrow.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8143762c440c5_webflow-arrow.svg	(from https://www.zen.dentist/our-story)
19:46:54	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20Aug%202024%2014:16:54%20GMT	https://www.zen.dentist/	D:/Template/Dentist/Dentist/www.zen.dentist/index.html	(from https://www.zen.dentist/index.html)
19:46:54	251/251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2213f0cfc0ba0f63196fce3faceba42612%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8145063c44099_arrow-right-up-line.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/6230bfc886c8145063c44099_arrow-right-up-line.svg	(from https://www.zen.dentist/our-story)
19:46:54	1157534/1157534	---M--	200	added ('OK')	image/png	etag:%2260b4975b44a5507064f019df7d1f2cfc%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/628bc02cd6a36a5a0fa443aa_CleanShot%202022-05-23%20at%2010.09.56%402x.png	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/628bc02cd6a36a5a0fa443aa_CleanShot%202022-05-23%20at%2010.09.56@2x.png	(from https://www.zen.dentist/our-story)
19:46:54	1949174/1949174	---M--	200	added ('OK')	image/png	etag:%22965babddb66759f8f42efba18c6928b6%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/62429cc8da0ac9feb49fda1e_dr%20nina%20moslehi-min.png	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/62429cc8da0ac9feb49fda1e_dr%20nina%20moslehi-min.png	(from https://www.zen.dentist/our-story)
19:46:54	1615560/1615560	---M--	200	added ('OK')	image/jpeg	etag:%22652bf9c32cfdae5dfde5edfcf6c6c4a6%22	https://cdn.prod.website-files.com/6230bfc886c8148626c4406d/634609d9e6257f278f56d54d_Untitled.jpeg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8148626c4406d/634609d9e6257f278f56d54d_Untitled.jpg	(from https://www.zen.dentist/our-story)
19:46:55	659874/659874	---M--	200	added ('OK')	image/webp	etag:%222c4b811f6534ec3ce1c1be4293a9548a%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c28865a1012cddd65ac858_SF_hallway_modified.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c28865a1012cddd65ac858_SF_hallway_modified.webp	(from https://www.zen.dentist/our-story)
19:46:56	537546/537546	---M--	200	added ('OK')	image/webp	etag:%229e7c96186509da6688ae0285aa2670ab%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c288659b896e013d781784_SF_op_updated.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c288659b896e013d781784_SF_op_updated.webp	(from https://www.zen.dentist/our-story)
19:46:56	637734/637734	---M--	200	added ('OK')	image/webp	etag:%226bcf2b315f58843b701cad55647847b8%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c2886505ad379a33f6b6bb_SF_second_hallway_updated.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c2886505ad379a33f6b6bb_SF_second_hallway_updated.webp	(from https://www.zen.dentist/our-story)
19:46:57	766090/766090	---M--	200	added ('OK')	image/webp	etag:%222f85b41fd16ee957b8cf7a7769aa6c16%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c28865340e0e7457590a55_SF_reception_filtered.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c28865340e0e7457590a55_SF_reception_filtered.webp	(from https://www.zen.dentist/our-story)
19:46:58	859852/859852	---M--	200	added ('OK')	image/webp	etag:%22e957223edcef5fc4efbc058422150d5a%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c288651d884ced9348e845_SF_reception_from_door_updated.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c288651d884ced9348e845_SF_reception_from_door_updated.webp	(from https://www.zen.dentist/our-story)
19:46:58	1198598/1198598	---M--	200	added ('OK')	image/webp	etag:%2214521b5318929962ad1a3792fd26b46c%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df29b67b26e12aefee5_lobby1.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df29b67b26e12aefee5_lobby1.webp	(from https://www.zen.dentist/our-story)
19:46:59	1038844/1038844	---M--	200	added ('OK')	image/webp	etag:%221db8e5022d71bf3cd7a3388c9b931cb1%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df2f14dbf471c0358f8_lobby3.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df2f14dbf471c0358f8_lobby3.webp	(from https://www.zen.dentist/our-story)
19:47:00	892640/892640	---M--	200	added ('OK')	image/webp	etag:%2243b6ce2f4f4bb4211ee9184857dede5b%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df2e6b3bdb05469e68f_ops1.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df2e6b3bdb05469e68f_ops1.webp	(from https://www.zen.dentist/our-story)
19:47:01	13693/13693	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e3d-357d%22	https://cdnjs.cloudflare.com/ajax/libs/dragdealer/0.9.9/dragdealer.min.js	D:/Template/Dentist/Dentist/cdnjs.cloudflare.com/ajax/libs/dragdealer/0.9.9/dragdealer.min.js	(from https://www.zen.dentist/our-story)
19:47:01	1013782/1013782	---M--	200	added ('OK')	image/webp	etag:%227145757e4ec1b9977ecbb2ebdf36a146%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df382c2c336af3353b8_lobby6.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df382c2c336af3353b8_lobby6.webp	(from https://www.zen.dentist/our-story)
19:47:01	477024/477024	---M--	200	added ('OK')	image/webp	etag:%22fb4bb4ef9d43b2d3ded373a43d9a553e%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df262a04e51a8c018ea_ops2.webp	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/65c26df262a04e51a8c018ea_ops2.webp	(from https://www.zen.dentist/our-story)
19:47:01	3357/3357	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2270108a8ee21be5d3aa7b50cd0670d261%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/64e621a5b03e3fb9bb2803e0_Group.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/64e621a5b03e3fb9bb2803e0_Group.svg	(from https://www.zen.dentist/general-dentistry)
19:47:01	5493/5493	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b6fc18c78caba19372a95b7ba031a014%22	https://cdn.prod.website-files.com/6230bfc886c8142108c44052/644bae85e44f1f6f0feec254_artificial-intelligence.svg	D:/Template/Dentist/Dentist/cdn.prod.website-files.com/6230bfc886c8142108c44052/644bae85e44f1f6f0feec254_artificial-intelligence.svg	(from https://www.zen.dentist/general-dentistry)
